x,y,layer1,layer2,voltage1,voltage2,current
5780.34,1968.43,TOP_LAYER,LAYER_1,11.8073,11.8073,-0
5780.34,1968.43,LAYER_1,LAYER_2,11.8073,11.8073,-2.17869e-12
5780.34,1968.43,LAYER_2,BOTTOM_LAYER,11.8073,11.8073,-0
5782.31,1765.67,TOP_LAYER,LAYER_1,11.8072,11.8072,-0.0107311
5782.31,1765.67,LAYER_1,LAYER_2,11.8072,11.8073,-0.0107311
5782.31,1765.67,LAYER_2,BOTTOM_LAYER,11.8073,11.8073,-0.0107311
5841.3,1130.36,TOP_LAYER,LAYER_1,11.8016,11.8016,-0
5841.3,1130.36,LAYER_1,LAYER_2,11.8016,11.8016,-1.29395e-11
5841.3,1130.36,LAYER_2,BOTTOM_LAYER,11.8016,11.8016,7.09633e-11
5831.52,2609.42,TOP_LAYER,LAYER_1,0.00131252,0.00131254,-0.000127691
5831.52,2609.42,LAYER_1,LAYER_2,0.00131254,0.00131264,-0.000127691
5831.52,2609.42,LAYER_2,BOTTOM_LAYER,0.00131264,0.00131264,-0
5849.24,1556.27,TOP_LAYER,LAYER_1,0.00130823,0.00131009,-0.0124959
5849.24,1556.27,LAYER_1,LAYER_2,0.00131009,0.00132028,-0.0124959
5849.24,1556.27,LAYER_2,BOTTOM_LAYER,0.00132028,0.00132028,-0
5862.04,2228.52,TOP_LAYER,LAYER_1,11.9665,11.9666,-0.526157
5862.04,2228.52,LAYER_1,LAYER_2,11.9666,11.967,-0.526157
5862.04,2228.52,LAYER_2,BOTTOM_LAYER,11.967,11.967,-0.202566
5862.04,2249.18,TOP_LAYER,LAYER_1,11.9666,11.9666,-0.290083
5862.04,2249.18,LAYER_1,LAYER_2,11.9666,11.9669,-0.290083
5862.04,2249.18,LAYER_2,BOTTOM_LAYER,11.9669,11.9669,-0.158411
5863.02,2207.85,TOP_LAYER,LAYER_1,11.966,11.9662,-1.39433
5863.02,2207.85,LAYER_1,LAYER_2,11.9662,11.9673,-1.39433
5863.02,2207.85,LAYER_2,BOTTOM_LAYER,11.9673,11.9674,-0.28616
5884.67,1343.67,TOP_LAYER,LAYER_1,0.00138517,0.00138867,-0.0235561
5884.67,1343.67,LAYER_1,LAYER_2,0.00138867,0.00140787,-0.0235561
5884.67,1343.67,LAYER_2,BOTTOM_LAYER,0.00140787,0.00140787,-0
5885.66,2207.85,TOP_LAYER,LAYER_1,11.966,11.9662,-1.20854
5885.66,2207.85,LAYER_1,LAYER_2,11.9662,11.9672,-1.20854
5885.66,2207.85,LAYER_2,BOTTOM_LAYER,11.9672,11.9673,-1.0023
5885.66,2233.44,TOP_LAYER,LAYER_1,11.9665,11.9665,-0.479308
5885.66,2233.44,LAYER_1,LAYER_2,11.9665,11.9669,-0.479308
5885.66,2233.44,LAYER_2,BOTTOM_LAYER,11.9669,11.967,-0.382667
5899.85,2364.92,TOP_LAYER,LAYER_1,11.9073,11.9073,-3.70113e-11
5899.85,2364.92,LAYER_1,LAYER_2,11.9073,11.9073,-3.0369e-11
5899.85,2364.92,LAYER_2,BOTTOM_LAYER,11.9073,11.9073,-1.85057e-11
5909.28,2206.86,TOP_LAYER,LAYER_1,11.9658,11.966,-1.39663
5909.28,2206.86,LAYER_1,LAYER_2,11.966,11.9672,-1.39663
5909.28,2206.86,LAYER_2,BOTTOM_LAYER,11.9672,11.9672,0.00203677
5909.28,2227.53,TOP_LAYER,LAYER_1,11.9665,11.9665,-0.479805
5909.28,2227.53,LAYER_1,LAYER_2,11.9665,11.9669,-0.479805
5909.28,2227.53,LAYER_2,BOTTOM_LAYER,11.9669,11.967,-0.300646
5909.28,2249.18,TOP_LAYER,LAYER_1,11.9667,11.9667,-0.225152
5909.28,2249.18,LAYER_1,LAYER_2,11.9667,11.9669,-0.225152
5909.28,2249.18,LAYER_2,BOTTOM_LAYER,11.9669,11.9669,-0.134359
5920.1,1272.81,TOP_LAYER,LAYER_1,0.00152638,0.00151393,0.0837865
5920.1,1272.81,LAYER_1,LAYER_2,0.00151393,0.00144561,0.0837865
5920.1,1272.81,LAYER_2,BOTTOM_LAYER,0.00144561,0.00144561,-0
5920.1,1556.27,TOP_LAYER,LAYER_1,0.00129002,0.001291,-0.00656306
5920.1,1556.27,LAYER_1,LAYER_2,0.001291,0.00129635,-0.00656306
5920.1,1556.27,LAYER_2,BOTTOM_LAYER,0.00129635,0.00129635,-0
5920.1,1698,TOP_LAYER,LAYER_1,0.00127069,0.00127277,-0.0139853
5920.1,1698,LAYER_1,LAYER_2,0.00127277,0.00128418,-0.0139853
5920.1,1698,LAYER_2,BOTTOM_LAYER,0.00128418,0.00128418,1.45856e-15
5941.3,1130.36,TOP_LAYER,LAYER_1,0.00264211,0.00257825,2.55078
5941.3,1130.36,LAYER_1,LAYER_2,0.00257825,0.00222808,2.55078
5941.3,1130.36,LAYER_2,BOTTOM_LAYER,0.00222808,0.00222808,-0
5935.28,2449.56,TOP_LAYER,LAYER_1,11.9073,11.9073,-0
5935.28,2449.56,LAYER_1,LAYER_2,11.9073,11.9073,1.68716e-11
5935.28,2449.56,LAYER_2,BOTTOM_LAYER,11.9073,11.9073,1.85057e-11
5955.54,1060.21,TOP_LAYER,LAYER_1,0.00167702,0.00166501,0.0808144
5955.54,1060.21,LAYER_1,LAYER_2,0.00166501,0.00159912,0.0808144
5955.54,1060.21,LAYER_2,BOTTOM_LAYER,0.00159912,0.00159912,-0
5955.54,1201.94,TOP_LAYER,LAYER_1,0.00156538,0.00155695,0.0567202
5955.54,1201.94,LAYER_1,LAYER_2,0.00155695,0.00151071,0.0567202
5955.54,1201.94,LAYER_2,BOTTOM_LAYER,0.00151071,0.00151071,-0
5955.54,1343.67,TOP_LAYER,LAYER_1,0.00134304,0.00134421,-0.00788215
5955.54,1343.67,LAYER_1,LAYER_2,0.00134421,0.00135064,-0.00788215
5955.54,1343.67,LAYER_2,BOTTOM_LAYER,0.00135064,0.00135064,-0
5955.54,1627.14,TOP_LAYER,LAYER_1,0.00127038,0.00127133,-0.00639352
5955.54,1627.14,LAYER_1,LAYER_2,0.00127133,0.00127655,-0.00639352
5955.54,1627.14,LAYER_2,BOTTOM_LAYER,0.00127655,0.00127655,-0
