x,y,layer1,layer2,voltage1,voltage2,current
5935.28,2449.56,LAYER_1,LAYER_2,11.8674,11.8674,1.68716e-11
5935.28,2449.56,LAYER_2,BOTTOM_LAYER,11.8674,11.8674,1.85057e-11
5955.54,1060.21,TOP_LAYER,LAYER_1,0.00110006,0.00109153,0.057421
5955.54,1060.21,LAYER_1,LAYER_2,0.00109153,0.00103129,0.0738854
5955.54,1060.21,LAYER_2,BOTTOM_LAYER,0.00103129,0.00102551,0.0388376
5955.54,1201.94,TOP_LAYER,LAYER_1,0.00106443,0.00105805,0.0428947
5955.54,1201.94,LAYER_1,LAYER_2,0.00105805,0.00101454,0.0533597
5955.54,1201.94,LAYER_2,BOTTOM_LAYER,0.00101454,0.0010104,0.0278788
5955.54,1343.67,TOP_LAYER,LAYER_1,0.000978081,0.000979861,-0.0119714
5955.54,1343.67,LAYER_1,LAYER_2,0.000979861,0.000975623,0.00519771
5955.54,1343.67,LAYER_2,BOTTOM_LAYER,0.000975623,0.00097513,0.00331759
5955.54,1485.4,TOP_LAYER,LAYER_1,0.000978831,0.000979562,-0.00491825
5955.54,1485.4,LAYER_1,LAYER_2,0.000979562,0.000981103,-0.00188958
5955.54,1485.4,LAYER_2,BOTTOM_LAYER,0.000981103,0.00098121,-0.000722723
5955.54,1627.14,TOP_LAYER,LAYER_1,0.000990788,0.000993322,-0.0170447
5955.54,1627.14,LAYER_1,LAYER_2,0.000993322,0.000995753,-0.00298188
5955.54,1627.14,LAYER_2,BOTTOM_LAYER,0.000995753,0.000995605,0.000997162
5963.41,2076.94,TOP_LAYER,LAYER_1,11.8673,11.8673,-0.0592688
5963.41,2076.94,LAYER_1,LAYER_2,11.8673,11.8674,-0.0592688
5963.41,2076.94,LAYER_2,BOTTOM_LAYER,11.8674,11.8674,-0.0592688
5971.29,2143.87,TOP_LAYER,LAYER_1,11.8676,11.8676,0.142628
5971.29,2143.87,LAYER_1,LAYER_2,11.8676,11.8675,0.142628
5971.29,2143.87,LAYER_2,BOTTOM_LAYER,11.8675,11.8674,0.142628
5972.27,2099.58,TOP_LAYER,LAYER_1,11.8673,11.8673,-0.139483
5972.27,2099.58,LAYER_1,LAYER_2,11.8673,11.8674,-0.139483
5972.27,2099.58,LAYER_2,BOTTOM_LAYER,11.8674,11.8674,-0.139483
5983.1,2121.23,TOP_LAYER,LAYER_1,11.8675,11.8675,0.0561237
5983.1,2121.23,LAYER_1,LAYER_2,11.8675,11.8674,0.0561237
5983.1,2121.23,LAYER_2,BOTTOM_LAYER,11.8674,11.8674,0.0561237
5985.07,2374.18,TOP_LAYER,LAYER_1,0.00118426,0.00118412,0.000963326
5985.07,2374.18,LAYER_1,LAYER_2,0.00118412,0.00118092,0.00392636
5985.07,2374.18,LAYER_2,BOTTOM_LAYER,0.00118092,0.00118097,-0.000332635
5990.97,1131.07,TOP_LAYER,LAYER_1,0.000985027,0.000980687,0.0291947
5990.97,1131.07,LAYER_1,LAYER_2,0.000980687,0.000954368,0.0322795
5990.97,1131.07,LAYER_2,BOTTOM_LAYER,0.000954368,0.000951894,0.0166399
5990.97,1272.81,TOP_LAYER,LAYER_1,0.000945422,0.000944522,0.0060553
5990.97,1272.81,LAYER_1,LAYER_2,0.000944522,0.000942944,0.00193523
5990.97,1272.81,LAYER_2,BOTTOM_LAYER,0.000942944,0.000942809,0.000906389
5990.97,1414.54,TOP_LAYER,LAYER_1,0.000953347,0.000954439,-0.00733953
5990.97,1414.54,LAYER_1,LAYER_2,0.000954439,0.000956575,-0.00262025
5990.97,1414.54,LAYER_2,BOTTOM_LAYER,0.000956575,0.000956747,-0.00115802
5990.97,1556.27,TOP_LAYER,LAYER_1,0.000972702,0.000974056,-0.00910453
5990.97,1556.27,LAYER_1,LAYER_2,0.000974056,0.000976865,-0.00344566
5990.97,1556.27,LAYER_2,BOTTOM_LAYER,0.000976865,0.000977056,-0.00128527
5990.97,1698,TOP_LAYER,LAYER_1,0.000988063,0.000991109,-0.0204858
5990.97,1698,LAYER_1,LAYER_2,0.000991109,0.000990054,0.00129386
5990.97,1698,LAYER_2,BOTTOM_LAYER,0.000990054,0.000989028,0.00689961
6020.5,2244.26,TOP_LAYER,LAYER_1,11.8674,11.8674,1.86982e-07
6020.5,2244.26,LAYER_1,LAYER_2,11.8674,11.8674,1.8698e-07
6020.5,2244.26,LAYER_2,BOTTOM_LAYER,11.8674,11.8674,1.8697e-07
6020.5,2273.79,TOP_LAYER,LAYER_1,11.8674,11.8674,-1.86958e-07
6020.5,2273.79,LAYER_1,LAYER_2,11.8674,11.8674,-1.86958e-07
6020.5,2273.79,LAYER_2,BOTTOM_LAYER,11.8674,11.8674,-1.86958e-07
6026.4,1060.21,TOP_LAYER,LAYER_1,0.000791123,0.000803419,-0.0827116
6026.4,1060.21,LAYER_1,LAYER_2,0.000803419,0.000837096,-0.0413047
6026.4,1060.21,LAYER_2,BOTTOM_LAYER,0.000837096,0.000840117,-0.0203186
6026.4,1201.94,TOP_LAYER,LAYER_1,0.00084011,0.000842201,-0.0140642
6026.4,1201.94,LAYER_1,LAYER_2,0.000842201,0.000866911,-0.0303069
6026.4,1201.94,LAYER_2,BOTTOM_LAYER,0.000866911,0.000869321,-0.0162111
6026.4,1343.67,TOP_LAYER,LAYER_1,0.000906848,0.000908058,-0.00814064
6026.4,1343.67,LAYER_1,LAYER_2,0.000908058,0.000916188,-0.00997167
6026.4,1343.67,LAYER_2,BOTTOM_LAYER,0.000916188,0.000916969,-0.00524823
6026.4,1485.4,TOP_LAYER,LAYER_1,0.000951132,0.000951745,-0.00412095
6026.4,1485.4,LAYER_1,LAYER_2,0.000951745,0.000953789,-0.00250679
6026.4,1485.4,LAYER_2,BOTTOM_LAYER,0.000953789,0.00095397,-0.00121474
6026.4,1627.14,TOP_LAYER,LAYER_1,0.000974007,0.000975806,-0.0120982
6026.4,1627.14,LAYER_1,LAYER_2,0.000975806,0.000976465,-0.000808742
6026.4,1627.14,LAYER_2,BOTTOM_LAYER,0.000976465,0.000976232,0.00156578
6061.84,1131.07,TOP_LAYER,LAYER_1,0.000509857,0.000535765,-0.174272
6061.84,1131.07,LAYER_1,LAYER_2,0.000535765,0.000670732,-0.165536
6061.84,1131.07,LAYER_2,BOTTOM_LAYER,0.000670732,0.000683383,-0.0850925
6061.84,1272.81,TOP_LAYER,LAYER_1,0.00081782,0.000832236,-0.0969688
